2024-01-31 00:07:27.673 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=6, num=23, color=ball-red, sx=马/金)
2024-01-31 00:07:27.673 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,142] - ---------------------
2024-01-31 00:07:27.673 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=7, num=02, color=ball-red, sx=兔/水)
2024-01-31 00:07:27.673 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=7, num=03, color=ball-blue, sx=虎/水)
2024-01-31 00:07:27.673 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=7, num=15, color=ball-blue, sx=虎/金)
2024-01-31 00:07:27.673 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=7, num=22, color=ball-green, sx=羊/金)
2024-01-31 00:07:27.673 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=7, num=23, color=ball-red, sx=马/金)
2024-01-31 00:07:27.673 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=7, num=31, color=ball-blue, sx=狗/土)
2024-01-31 00:07:27.673 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=7, num=13, color=ball-red, sx=龙/火)
2024-01-31 00:07:27.673 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,142] - ---------------------
2024-01-31 00:07:27.673 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=8, num=09, color=ball-blue, sx=猴/土)
2024-01-31 00:07:27.673 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=8, num=13, color=ball-red, sx=龙/火)
2024-01-31 00:07:27.673 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=8, num=22, color=ball-green, sx=羊/金)
2024-01-31 00:07:27.673 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=8, num=24, color=ball-red, sx=蛇/水)
2024-01-31 00:07:27.673 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=8, num=26, color=ball-blue, sx=兔/木)
2024-01-31 00:07:27.673 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=8, num=27, color=ball-green, sx=虎/木)
2024-01-31 00:07:27.674 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=8, num=34, color=ball-red, sx=羊/木)
2024-01-31 00:07:27.674 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,142] - ---------------------
2024-01-31 00:07:27.674 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=9, num=03, color=ball-blue, sx=虎/水)
2024-01-31 00:07:27.674 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=9, num=07, color=ball-red, sx=狗/金)
2024-01-31 00:07:27.674 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=9, num=11, color=ball-green, sx=马/水)
2024-01-31 00:07:27.674 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=9, num=16, color=ball-green, sx=牛/土)
2024-01-31 00:07:27.674 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=9, num=24, color=ball-red, sx=蛇/水)
2024-01-31 00:07:27.674 [main] INFO  c.c.c.DataClimbLhc - [climbLhc,140] - LhcData(year=1976, index=9, num=30, color=ball-red, sx=猪/土)
